Produtos
Abacate
Alface Americana
Alface Crespa 
Alface Crespa Hidropônica
Alface Crespa Roxo
Alface Lisa
Alface Lisa Hidropônica
Alface Lisa Higienizado
Alface Mimosa Hidropônica
Brocolis
Couve
Couve Flor
Couve Higienizado
Repolho Roxa
Repolho Verde
Abobrinha Italiana 
Batata Doce Rosada
Batata Lavada
Beringela 
Beterraba
Cebola
Cenoura
Chuchu
Mandioca 
Pepino Comum
Pepino Japones
Pimentao Amarelo
Pimentao Verde 
Pimentao Vermelho
Tomate
Tomate Italiano
Banana Nanica
Banana Prata
Banana Terra
Goiaba
Laranja Pera 
Limao 
Maça Argentina
Maça Fuji
Maça Gala
Maça Gransmith
Mamao Papaya
Mamao Formosa
Manga Palmer
Manga Tommy
Maracujá Azedo
Melao Amarelo
Pera Willians
